t,x,y,z,qw,qx,qy,qz,tx,ty,tz
1.31,61.9648,-4.76941,996.551,-0.158754,0.1532,-0.945731,-0.238579,100,0,1000
1.315,62.1846,-4.82217,996.566,-0.199491,0.160514,-0.934898,-0.245774,100,0,1000
1.32,62.4042,-4.87502,996.582,-0.241039,0.165896,-0.920225,-0.259933,100,0,1000
1.325,62.6236,-4.92796,996.599,-0.283546,0.172676,-0.904164,-0.268834,100,0,1000
1.33,62.8429,-4.98098,996.617,-0.324646,0.178787,-0.886367,-0.277478,100,0,1000
1.335,63.0619,-5.03407,996.636,-0.365144,0.187805,-0.868514,-0.277637,100,0,1000
1.34,63.2808,-5.08719,996.656,-0.403471,0.197206,-0.850128,-0.274961,100,0,1000
1.345,63.4994,-5.14033,996.677,-0.441561,0.210254,-0.83127,-0.26421,100,0,1000
1.35,63.7178,-5.19345,996.7,-0.478451,0.223548,-0.811046,-0.251626,100,0,1000
1.355,63.936,-5.24656,996.723,-0.514965,0.235509,-0.788503,-0.240021,100,0,1000
1.36,64.154,-5.29966,996.747,-0.549638,0.247711,-0.764941,-0.226722,100,0,1000
1.365,64.3718,-5.35273,996.772,-0.58122,0.264692,-0.741529,-0.205566,100,0,1000
1.37,64.5894,-5.40572,996.798,-0.610043,0.285791,-0.717323,-0.177819,100,0,1000
1.375,64.8068,-5.45862,996.825,-0.63696,0.306275,-0.691474,-0.149469,100,0,1000
1.38,65.0239,-5.51142,996.854,-0.661669,0.328373,-0.663673,-0.11791,100,0,1000
1.385,65.2409,-5.56408,996.883,-0.680872,0.357324,-0.634564,-0.0778468,100,0,1000
1.39,65.4576,-5.61657,996.913,-0.697467,0.38399,-0.603812,-0.0387527,100,0,1000
1.395,65.6741,-5.66888,996.945,-0.707605,0.418064,-0.569593,0.00902171,100,0,1000
1.4,65.8903,-5.72096,996.977,-0.712048,0.453949,-0.532275,0.0600119,100,0,1000
1.405,66.1063,-5.7728,997.011,-0.713603,0.487151,-0.490989,0.111284,100,0,1000
1.41,66.3221,-5.82438,997.046,-0.710097,0.519947,-0.445401,0.164423,100,0,1000
